file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,class,0,1,1,0,8,1,0,0,10,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,30,3,0,0,0,0,0,0,6,0,3,0,0,0,0,12,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,class,7,8,1,7,14,5,0,15,9,0.6071429,0.0,0.0,7,0,5,1,1,0,6,0,0,2,4,0,0,4,0,0,0,0,0,50,4,0,1,0,0,2,0,10,1,8,2,0,0,0,126,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/view/custom/CustomViewChart.java,com.serotonin.mango.view.custom.CustomViewChart,class,7,8,1,7,8,2,0,15,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,4,0,0,4,0,0,4,0,1,39,0,2,2,0,0,6,1,9,0,8,3,0,0,0,36,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/dataImage/PointValueTime.java,com.serotonin.mango.rt.dataImage.PointValueTime,class,9,78,69,9,22,1,2,7,0,0.5416667,0.0,0.0,16,2,16,0,0,0,16,0,0,0,3,1,0,3,0,0,3,0,3,59,15,0,6,0,0,3,1,4,1,4,1,0,0,0,44,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/dataSource/galil/GalilWaitingRoomKeyFactory.java,com.serotonin.mango.rt.dataSource.galil.GalilWaitingRoomKeyFactory$GalilWaitingRoomKey,innerclass,1,1,0,1,5,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,3,0,0,0,1,0,0,0,1,0,0,0,14,8,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/db/dao/DataPointDao.java,com.serotonin.mango.db.dao.DataPointDao,class,27,48,21,27,72,3,0,89,638,0.9099099,0.0,0.0,37,0,22,9,0,6,28,0,0,0,3,3,0,2,0,1,2,0,15,342,20,16,15,1,1,54,7,33,19,27,3,8,2,0,170,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/view/text/MultistateValue.java,com.serotonin.mango.view.text.MultistateValue,class,1,2,1,1,11,1,0,4,0,0.64,0.0,0.0,10,0,8,2,0,0,8,0,0,0,5,2,0,5,0,0,2,0,4,46,3,0,1,0,0,0,3,12,0,6,1,0,0,0,34,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/db/dao/WatchListDao.java,com.serotonin.mango.db.dao.WatchListDao,class,14,18,4,14,19,3,0,27,120,0.0,0.0,0.0,16,0,13,1,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,118,8,2,1,0,0,15,0,6,1,6,1,3,2,0,80,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/vo/dataSource/modbus/ModbusSerialDataSourceVO.java,com.serotonin.mango.vo.dataSource.modbus.ModbusSerialDataSourceVO$EncodingType,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,3,0,1,0,1,0,0,0,0,17,1,0
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/view/component/DynamicGraphicComponent.java,com.serotonin.mango.view.component.DynamicGraphicComponent,class,16,19,3,16,38,3,0,26,55,0.80519485,0.0,0.0,22,0,20,2,0,0,20,0,0,0,7,3,1,6,0,0,2,0,3,108,22,0,12,0,3,9,12,18,3,12,4,0,0,0,71,1,0
